FSCSKEY,district_geoid,weight
PA0261,4207200,1.0
PA0262,4211700,1.0
PA0263,4225950,1.0
PA0264,4205460,1.0
PA0265,4216290,1.0
PA0275,4217310,1.0
PA0286,4219290,1.0
PA0290,4203000,1.0
PA0291,4203570,1.0
PA0292,4208850,1.0
PA0293,4216380,1.0
PA0294,4217370,1.0
PA0295,4226550,1.0
PA0299,4213500,1.0
PA0300,4218360,1.0
PA0301,4202280,1.0
PA0302,4205160,1.0
PA0305,4222350,1.0
PA0306,4217670,1.0
PA0307,4218510,1.0
PA0312,4216860,1.0
PA0318,4202040,1.0
PA0319,4202400,1.0
PA0344,4225290,1.0
PA0351,4218300,1.0
PA0353,4219050,1.0
PA0355,4223640,1.0
PA0357,4202790,1.0
PA0397,4212150,1.0
PA0402,4214430,1.0
PA0407,4220910,1.0
PA0409,4223220,1.0
PA0413,4204500,1.0
PA0433,4211940,1.0
PA0440,4212930,1.0
PA0464,4220970,1.0
PA0472,4222790,1.0
PA0473,4225200,1.0
PA0475,4209780,1.0
PA0476,4204050,1.0
PA0486,4211730,1.0
PA0497,4221810,1.0
PA0513,4222830,1.0
PA0518,4202340,1.0
PA0520,4217640,1.0
PA0525,4218900,1.0
PA9031,4209480,1.0
PA9036,4211880,1.0
SD0002,4600028,1.0
SD0006,4611760,1.0
SD0010,4621340,1.0
SD0011,4621390,1.0
SD0016,4680439,1.0
SD0017,4641550,1.0
SD0019,4647100,1.0
SD0025,4665180,1.0
SD0068,4655710,1.0
SD0075,4680190,1.0
SD0080,4619170,1.0
SD0101,4600042,1.0
SD0107,4622940,1.0
SD0161,4600052,1.0
TX0089,4808870,1.0
TX0102,4823670,1.0
TX0180,4830600,1.0
TX0210,4834020,1.0
TX0285,4840550,1.0
TX0334,4846260,1.0
TX0344,4812090,1.0
TX0357,4826470,1.0
TX0384,4800008,1.0
TX0400,4838580,1.0
TX0406,4807800,1.0
TX0465,4836480,1.0
TX0483,4832640,1.0
TX0515,4841250,1.0
TX0565,4800009,1.0
TX0570,4844010,1.0
TX0573,4813530,1.0
TX0574,4830930,1.0
TX0582,4824000,1.0
TX0624,4824930,1.0
TX0626,4815510,1.0
TX0677,4800003,1.0
TX0687,4836000,1.0
TX0696,4827420,1.0
TX0698,4845480,1.0
TX0712,4842210,1.0
TX0737,4839870,1.0
TX0741,4842840,1.0
WA0015,5304110,1.0
WA0073,5301660,1.0
WA0076,5307740,1.0
WI0204,5509840,1.0
AK0134,0200700,1.0
AK0038,0200390,1.0
AK0065,0200390,1.0
AK0069,0200390,1.0
AK0019,0200100,1.0
AK0021,0200050,1.0
AK0058,0200480,1.0
AK0032,0200390,1.0
AK0056,0200630,0.9999999999951513
AK0056,0200730,4.848681602333329e-12
AK0014,0200007,1.0
AK0016,0200060,0.9999882097179477
AK0016,0200800,1.179028205232235e-05
AK0077,0200780,0.9999999999997718
AK0077,0200800,2.281001841742089e-13
AK0115,0200010,3.962591012785889e-07
AK0115,0200720,0.9999996037408988
AK0028,0200730,1.0
AK0140,0200700,1.0
AK0064,0200390,1.0
AK0055,0200510,1.0
AK0006,0200001,1.0
AK0078,0200510,1.0
AK0074,0200730,1.0
AK0025,0200130,0.9999994176846994
AK0025,0200862,5.823153007098019e-07
AK0044,0200520,1.0
AK0048,0200540,0.9990106631491614
AK0048,0200862,0.0009893368508384999
AK0141,0200010,1.0
AK0127,0200700,1.0
AK0130,0200700,1.0
AK0113,0200480,1.0
AK0052,0200020,2.883680539724116e-08
AK0052,0200570,0.9999999711631946
AK0020,0200120,0.9999999999998644
AK0020,0200710,1.355921792546283e-13
AK0142,0200360,0.9999999993853305
AK0142,0200700,6.146694852351881e-10
AK0041,0200625,1.0
AK0017,0200090,0.9999990793779802
AK0017,0200700,9.206220197388878e-07
AK0011,0200480,1.0
AK0001,0200390,1.0
AK0007,0200510,1.0
AK0008,0200510,7.007422367320529e-09
AK0008,0200770,0.9999999929925776
AK0015,0200390,1.0
AK0027,0200070,1.0
AK0030,0200770,1.0
AK0033,0200390,1.0
AK0126,0200485,1.0
AK0085,0200070,1.0
AK0137,0200270,0.013711828836406096
AK0137,0200730,0.9862881711635938
AK0099,0200390,1.0
AK0124,0200520,0.9999999999999246
AK0124,0200770,7.532823157762231e-14
AK0031,0200700,1.0
AK0046,0200525,1.0
AK0051,0200390,1.0
AK0139,0200485,1.0
AK0070,0200510,1.0
AK0072,0200510,1.0
AK0103,0200510,1.0
AK0080,0200510,1.0
AK0057,0200660,1.0
