GEOID,lat,lon
0405340,33.8749535,-112.583558
0407680,33.0154956,-113.2122465
0405400,33.4314364,-112.123734
0405670,33.4960718,-112.0789495
0405850,33.4004362,-112.6844007
0406210,33.4986266,-112.2764579
0406300,33.4530772,-112.0783438
0405730,34.6656043,-113.652899
0406000,31.5188047,-110.7571638
0407920,31.619765,-110.6003765
0406150,31.9012903,-109.851655
0406630,31.9897709,-110.2063793
0406360,32.7157274,-111.3588406
0407020,33.4241399,-112.1703861
0407080,33.3865159,-112.067681
0408310,33.4062883,-111.9378544
0408490,33.4559582,-112.2586512
0408460,34.4644124,-112.8874647
0408820,33.3505757,-112.2580879
0409060,33.5893864,-112.1131908
0409510,34.2768964,-112.7242252
0409570,34.7323251,-113.974883
0409600,32.5295065,-114.0048912
0409540,33.9766515,-110.9603436
0625290,36.562377,-119.7392353
0625350,36.5189083,-119.3310929
0628530,36.6755567,-119.7795102
0629400,36.6124585,-119.759468
0630390,37.1098623,-118.9369649
0631680,36.5835654,-119.9609668
0641460,36.6392016,-119.7888081
0618840,37.6257136,-121.4377862
0626970,38.1577939,-121.5202225
0627030,37.6514804,-121.3103085
0627930,38.2505382,-121.1435703
0640800,37.921533,-120.8569604
0614790,38.2551183,-121.3127602
0604200,37.6912131,-122.3914319
0604530,37.5325949,-122.2449363
0606060,37.6757495,-122.383302
0606480,37.5866037,-122.3660887
0617190,37.5569805,-122.3582669
0618870,37.6902096,-122.4962693
0620460,37.5978253,-122.5128618
0622380,37.422146,-122.2159023
0624570,37.4558848,-122.1833451
0624900,37.6192966,-122.3645694
0631470,37.3651909,-122.2327244
0631860,37.4894915,-122.1334597
0632130,37.4859353,-122.2325904
0634230,37.6264115,-122.3857566
0634290,37.5010545,-122.2664313
0603000,40.8725872,-124.0776185
0604890,41.1685711,-124.0701235
0605400,40.8660187,-123.8687165
0606000,40.4995854,-123.7084489
0616320,38.550149,-122.9903977
0616620,38.3819319,-122.9935115
0617580,38.7022206,-123.3573786
0619410,38.4187281,-122.5330945
0621540,38.2826327,-122.7095198
0624000,38.5186065,-122.7487417
0625410,38.4383835,-123.0784724
0625650,38.5471748,-123.1037254
0627840,38.4426349,-122.8531271
0628320,38.1998827,-122.5124079
0630230,38.2567666,-122.6172738
0630450,38.4725689,-122.8006952
0632340,38.6566355,-123.3390001
0632640,38.4906209,-122.6323149
0633510,38.4261465,-122.7319246
0635810,38.4547738,-122.7206709
0636180,38.4083478,-122.8335594
0640230,38.3645206,-122.8479303
0640260,38.2654364,-122.7776574
0632160,37.8867683,-122.4626194
0633660,37.9626151,-122.5683146
0635090,37.9809021,-122.4816744
0636000,37.8486405,-122.5156922
0612090,34.0833101,-118.0290541
0630510,36.3604847,-119.699346
0639600,36.4481593,-119.478168
0623730,40.7286612,-123.7373295
0624300,40.9771144,-123.9541503
0628830,41.3572961,-124.0486535
0629430,40.8917514,-124.1112795
0638040,36.4785931,-119.196924
0624780,35.2014208,-119.5600286
0627450,35.4311728,-119.1170544
0631350,35.7394553,-119.4655339
0603180,36.2355205,-119.7049424
0607980,36.1791004,-119.8441233
0616470,36.3309295,-119.6504975
0618510,36.3477747,-119.8823039
0619770,36.4023671,-119.6200117
0619890,36.3217726,-119.5329252
0620760,36.2328593,-119.6092332
0621360,36.3203932,-119.7923899
0642750,38.2290379,-122.6902775
0643200,38.4222897,-122.7630246
0623040,39.0907791,-122.7850454
0631980,40.1484042,-122.3104054
